[TRACE] 23:02:16:938 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:02:23:779 nivel2/(10007:10007): Acepto Personaje: en Socket: 6
[TRACE] 23:02:23:779 nivel2/(10007:10007): Pedido posicion recurso: F
[TRACE] 23:02:23:880 nivel2/(10007:10007): Personaje a mover *, posicionX 2 posicionY 1
[TRACE] 23:02:23:880 nivel2/(10007:10007): Movimiento personaje: x: 2, y: 1

[TRACE] 23:02:23:980 nivel2/(10007:10007): Personaje a mover *, posicionX 3 posicionY 1
[TRACE] 23:02:23:980 nivel2/(10007:10007): Movimiento personaje: x: 3, y: 1

[TRACE] 23:02:24:81 nivel2/(10007:10007): Personaje a mover *, posicionX 4 posicionY 1
[TRACE] 23:02:24:81 nivel2/(10007:10007): Movimiento personaje: x: 4, y: 1

[TRACE] 23:02:24:981 nivel2/(10007:10007): Personaje a mover *, posicionX 5 posicionY 1
[TRACE] 23:02:24:981 nivel2/(10007:10007): Movimiento personaje: x: 5, y: 1

[TRACE] 23:02:25:81 nivel2/(10007:10007): Personaje a mover *, posicionX 6 posicionY 1
[TRACE] 23:02:25:81 nivel2/(10007:10007): Movimiento personaje: x: 6, y: 1

[TRACE] 23:02:25:182 nivel2/(10007:10007): Personaje a mover *, posicionX 7 posicionY 1
[TRACE] 23:02:25:182 nivel2/(10007:10007): Movimiento personaje: x: 7, y: 1

[TRACE] 23:02:25:983 nivel2/(10007:10007): Personaje a mover *, posicionX 8 posicionY 1
[TRACE] 23:02:25:983 nivel2/(10007:10007): Movimiento personaje: x: 8, y: 1

[TRACE] 23:02:26:83 nivel2/(10007:10007): Personaje a mover *, posicionX 9 posicionY 1
[TRACE] 23:02:26:83 nivel2/(10007:10007): Movimiento personaje: x: 9, y: 1

[TRACE] 23:02:26:184 nivel2/(10007:10007): Personaje a mover *, posicionX 10 posicionY 1
[TRACE] 23:02:26:184 nivel2/(10007:10007): Movimiento personaje: x: 10, y: 1

[TRACE] 23:02:26:938 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:02:27:485 nivel2/(10007:10007): Personaje a mover *, posicionX 11 posicionY 1
[TRACE] 23:02:27:485 nivel2/(10007:10007): Movimiento personaje: x: 11, y: 1

[TRACE] 23:02:27:586 nivel2/(10007:10007): Personaje a mover *, posicionX 12 posicionY 1
[TRACE] 23:02:27:586 nivel2/(10007:10007): Movimiento personaje: x: 12, y: 1

[TRACE] 23:02:27:688 nivel2/(10007:10007): Personaje a mover *, posicionX 13 posicionY 1
[TRACE] 23:02:27:688 nivel2/(10007:10007): Movimiento personaje: x: 13, y: 1

[TRACE] 23:02:28:988 nivel2/(10007:10007): Personaje a mover *, posicionX 14 posicionY 1
[TRACE] 23:02:28:988 nivel2/(10007:10007): Movimiento personaje: x: 14, y: 1

[TRACE] 23:02:29:88 nivel2/(10007:10007): Personaje a mover *, posicionX 15 posicionY 1
[TRACE] 23:02:29:88 nivel2/(10007:10007): Movimiento personaje: x: 15, y: 1

[TRACE] 23:02:29:190 nivel2/(10007:10007): Personaje a mover *, posicionX 16 posicionY 1
[TRACE] 23:02:29:190 nivel2/(10007:10007): Movimiento personaje: x: 16, y: 1

[TRACE] 23:02:30:493 nivel2/(10007:10007): Personaje a mover *, posicionX 17 posicionY 1
[TRACE] 23:02:30:493 nivel2/(10007:10007): Movimiento personaje: x: 17, y: 1

[TRACE] 23:02:30:594 nivel2/(10007:10007): Personaje a mover *, posicionX 18 posicionY 1
[TRACE] 23:02:30:594 nivel2/(10007:10007): Movimiento personaje: x: 18, y: 1

[TRACE] 23:02:30:696 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 1
[TRACE] 23:02:30:696 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 1

[TRACE] 23:02:31:996 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 2
[TRACE] 23:02:31:996 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 2

[TRACE] 23:02:32:96 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 3
[TRACE] 23:02:32:97 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 3

[TRACE] 23:02:32:198 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 4
[TRACE] 23:02:32:198 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 4

[TRACE] 23:02:33:496 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 5
[TRACE] 23:02:33:496 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 5

[TRACE] 23:02:33:597 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 6
[TRACE] 23:02:33:597 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 6

[TRACE] 23:02:33:698 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 7
[TRACE] 23:02:33:698 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 7

[TRACE] 23:02:34:0 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 8
[TRACE] 23:02:34:0 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 8

[TRACE] 23:02:35:102 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 9
