[TRACE] 23:02:20:467 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:02:25:381 nivel4/(10013:10013): Acepto Personaje: en Socket: 6
[TRACE] 23:02:25:381 nivel4/(10013:10013): Pedido posicion recurso: H
[TRACE] 23:02:25:483 nivel4/(10013:10013): Personaje a mover #, posicionX 2 posicionY 1
[TRACE] 23:02:25:483 nivel4/(10013:10013): Movimiento personaje: x: 2, y: 1

[TRACE] 23:02:25:583 nivel4/(10013:10013): Personaje a mover #, posicionX 3 posicionY 1
[TRACE] 23:02:25:584 nivel4/(10013:10013): Movimiento personaje: x: 3, y: 1

[TRACE] 23:02:25:686 nivel4/(10013:10013): Personaje a mover #, posicionX 4 posicionY 1
[TRACE] 23:02:25:686 nivel4/(10013:10013): Movimiento personaje: x: 4, y: 1

[TRACE] 23:02:26:484 nivel4/(10013:10013): Personaje a mover #, posicionX 5 posicionY 1
[TRACE] 23:02:26:484 nivel4/(10013:10013): Movimiento personaje: x: 5, y: 1

[TRACE] 23:02:26:585 nivel4/(10013:10013): Personaje a mover #, posicionX 6 posicionY 1
[TRACE] 23:02:26:585 nivel4/(10013:10013): Movimiento personaje: x: 6, y: 1

[TRACE] 23:02:26:686 nivel4/(10013:10013): Personaje a mover #, posicionX 7 posicionY 1
[TRACE] 23:02:26:686 nivel4/(10013:10013): Movimiento personaje: x: 7, y: 1

[TRACE] 23:02:27:384 nivel4/(10013:10013): Acepto Personaje: en Socket: 7
[TRACE] 23:02:28:386 nivel4/(10013:10013): Pedido posicion recurso: C
[TRACE] 23:02:28:487 nivel4/(10013:10013): Personaje a mover &, posicionX 2 posicionY 1
[TRACE] 23:02:28:487 nivel4/(10013:10013): Movimiento personaje: x: 2, y: 1

[TRACE] 23:02:28:587 nivel4/(10013:10013): Personaje a mover &, posicionX 3 posicionY 1
[TRACE] 23:02:28:588 nivel4/(10013:10013): Movimiento personaje: x: 3, y: 1

[TRACE] 23:02:28:689 nivel4/(10013:10013): Personaje a mover &, posicionX 4 posicionY 1
[TRACE] 23:02:28:689 nivel4/(10013:10013): Movimiento personaje: x: 4, y: 1

[TRACE] 23:02:29:991 nivel4/(10013:10013): Personaje a mover #, posicionX 8 posicionY 1
[TRACE] 23:02:29:991 nivel4/(10013:10013): Movimiento personaje: x: 8, y: 1

[TRACE] 23:02:30:93 nivel4/(10013:10013): Personaje a mover #, posicionX 9 posicionY 1
[TRACE] 23:02:30:93 nivel4/(10013:10013): Movimiento personaje: x: 9, y: 1

[TRACE] 23:02:30:194 nivel4/(10013:10013): Personaje a mover #, posicionX 10 posicionY 1
[TRACE] 23:02:30:194 nivel4/(10013:10013): Movimiento personaje: x: 10, y: 1

[TRACE] 23:02:30:468 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:02:31:496 nivel4/(10013:10013): Personaje a mover &, posicionX 5 posicionY 1
[TRACE] 23:02:31:496 nivel4/(10013:10013): Movimiento personaje: x: 5, y: 1

[TRACE] 23:02:31:597 nivel4/(10013:10013): Personaje a mover &, posicionX 6 posicionY 1
[TRACE] 23:02:31:597 nivel4/(10013:10013): Movimiento personaje: x: 6, y: 1

[TRACE] 23:02:31:699 nivel4/(10013:10013): Personaje a mover &, posicionX 7 posicionY 1
[TRACE] 23:02:31:699 nivel4/(10013:10013): Movimiento personaje: x: 7, y: 1

[TRACE] 23:02:32:996 nivel4/(10013:10013): Personaje a mover #, posicionX 11 posicionY 1
[TRACE] 23:02:32:997 nivel4/(10013:10013): Movimiento personaje: x: 11, y: 1

[TRACE] 23:02:33:99 nivel4/(10013:10013): Personaje a mover #, posicionX 12 posicionY 1
[TRACE] 23:02:33:99 nivel4/(10013:10013): Movimiento personaje: x: 12, y: 1

[TRACE] 23:02:33:200 nivel4/(10013:10013): Personaje a mover #, posicionX 13 posicionY 1
[TRACE] 23:02:33:200 nivel4/(10013:10013): Movimiento personaje: x: 13, y: 1

[TRACE] 23:02:34:498 nivel4/(10013:10013): Personaje a mover &, posicionX 8 posicionY 1
[TRACE] 23:02:34:498 nivel4/(10013:10013): Movimiento personaje: x: 8, y: 1

[TRACE] 23:02:34:599 nivel4/(10013:10013): Personaje a mover &, posicionX 9 posicionY 1
[TRACE] 23:02:34:599 nivel4/(10013:10013): Movimiento personaje: x: 9, y: 1

[TRACE] 23:02:34:700 nivel4/(10013:10013): Personaje a mover &, posicionX 10 posicionY 1
[TRACE] 23:02:34:700 nivel4/(10013:10013): Movimiento personaje: x: 10, y: 1

[TRACE] 23:02:35:2 nivel4/(10013:10013): Personaje a mover #, posicionX 14 posicionY 1
[TRACE] 23:02:35:2 nivel4/(10013:10013): Movimiento personaje: x: 14, y: 1

[TRACE] 23:02:36:104 nivel4/(10013:10013): Personaje a mover #, posicionX 15 posicionY 1
[TRACE] 23:02:36:104 nivel4/(10013:10013): Movimiento personaje: x: 15, y: 1

[TRACE] 23:02:36:206 nivel4/(10013:10013): Personaje a mover #, posicionX 16 posicionY 1
[TRACE] 23:02:36:206 nivel4/(10013:10013): Movimiento personaje: x: 16, y: 1

[TRACE] 23:02:37:504 nivel4/(10013:10013): Personaje a mover &, posicionX 11 posicionY 1
[TRACE] 23:02:37:505 nivel4/(10013:10013): Movimiento personaje: x: 11, y: 1

[TRACE] 23:02:37:606 nivel4/(10013:10013): Personaje a mover &, posicionX 12 posicionY 1
[TRACE] 23:02:37:606 nivel4/(10013:10013): Movimiento personaje: x: 12, y: 1

[TRACE] 23:02:37:707 nivel4/(10013:10013): Personaje a mover &, posicionX 13 posicionY 1
[TRACE] 23:02:37:708 nivel4/(10013:10013): Movimiento personaje: x: 13, y: 1

[TRACE] 23:02:39:7 nivel4/(10013:10013): Personaje a mover #, posicionX 17 posicionY 1
[TRACE] 23:02:39:7 nivel4/(10013:10013): Movimiento personaje: x: 17, y: 1

[TRACE] 23:02:39:108 nivel4/(10013:10013): Personaje a mover #, posicionX 18 posicionY 1
[TRACE] 23:02:39:108 nivel4/(10013:10013): Movimiento personaje: x: 18, y: 1

[TRACE] 23:02:39:210 nivel4/(10013:10013): Personaje a mover #, posicionX 19 posicionY 1
[TRACE] 23:02:39:210 nivel4/(10013:10013): Movimiento personaje: x: 19, y: 1

[TRACE] 23:02:40:468 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:02:40:510 nivel4/(10013:10013): Personaje a mover &, posicionX 14 posicionY 1
[TRACE] 23:02:40:510 nivel4/(10013:10013): Movimiento personaje: x: 14, y: 1

[TRACE] 23:02:40:611 nivel4/(10013:10013): Personaje a mover &, posicionX 15 posicionY 1
[TRACE] 23:02:40:611 nivel4/(10013:10013): Movimiento personaje: x: 15, y: 1

